date,lineage,stream_count,color
2016-12-31,Asian,38148151,#D9734E
2016-12-31,Mixed Asian,94950190,#F2B05E
2017-01-31,Asian,60539091,#D9734E
2017-01-31,Mixed Asian,192340363,#F2B05E
2017-02-28,Asian,51369908,#D9734E
2017-02-28,Mixed Asian,192781038,#F2B05E
2017-03-31,Asian,54481455,#D9734E
2017-03-31,Mixed Asian,245962042,#F2B05E
2017-04-30,Asian,42096840,#D9734E
2017-04-30,Mixed Asian,176621336,#F2B05E
2017-05-31,Asian,20045590,#D9734E
2017-05-31,Mixed Asian,133894111,#F2B05E
2017-06-30,Asian,27641625,#D9734E
2017-06-30,Mixed Asian,157909486,#F2B05E
2017-07-31,Asian,21524286,#D9734E
2017-07-31,Mixed Asian,135634619,#F2B05E
2017-08-31,Asian,19586811,#D9734E
2017-08-31,Mixed Asian,116584322,#F2B05E
2017-09-30,Asian,63200184,#D9734E
2017-09-30,Mixed Asian,144523360,#F2B05E
2017-10-31,Asian,32741138,#D9734E
2017-10-31,Mixed Asian,115969458,#F2B05E
2017-11-30,Asian,23687416,#D9734E
2017-11-30,Mixed Asian,102713844,#F2B05E
2017-12-31,Asian,87894854,#D9734E
2017-12-31,Mixed Asian,94566874,#F2B05E
2018-01-31,Asian,32870019,#D9734E
2018-01-31,Mixed Asian,176561162,#F2B05E
2018-02-28,Asian,19489847,#D9734E
2018-02-28,Mixed Asian,181168376,#F2B05E
2018-03-31,Asian,24752261,#D9734E
2018-03-31,Mixed Asian,174201351,#F2B05E
2018-04-30,Asian,20706793,#D9734E
2018-04-30,Mixed Asian,85523246,#F2B05E
2018-05-31,Asian,129900691,#D9734E
2018-05-31,Mixed Asian,62869390,#F2B05E
2018-06-30,Asian,165693411,#D9734E
2018-06-30,Mixed Asian,35153612,#F2B05E
2018-07-31,Asian,148268132,#D9734E
2018-07-31,Mixed Asian,19698815,#F2B05E
2018-08-31,Asian,222286806,#D9734E
2018-08-31,Mixed Asian,23961492,#F2B05E
2018-09-30,Asian,127448520,#D9734E
2018-09-30,Mixed Asian,41476239,#F2B05E
2018-10-31,Asian,130507063,#D9734E
2018-10-31,Mixed Asian,50460201,#F2B05E
2018-11-30,Asian,201603488,#D9734E
2018-11-30,Mixed Asian,83710983,#F2B05E
2018-12-31,Asian,135370317,#D9734E
2018-12-31,Mixed Asian,48445254,#F2B05E
2019-01-31,Asian,94373662,#D9734E
2019-01-31,Mixed Asian,82114113,#F2B05E
2019-02-28,Asian,54521748,#D9734E
2019-02-28,Mixed Asian,94456433,#F2B05E
2019-03-31,Asian,77924527,#D9734E
2019-03-31,Mixed Asian,124337861,#F2B05E
2019-04-30,Asian,325187452,#D9734E
2019-04-30,Mixed Asian,71438056,#F2B05E
2019-05-31,Asian,218004564,#D9734E
2019-05-31,Mixed Asian,104422843,#F2B05E
2019-06-30,Asian,162461455,#D9734E
2019-06-30,Mixed Asian,33810492,#F2B05E
2019-07-31,Asian,100396175,#D9734E
2019-07-31,Mixed Asian,26956765,#F2B05E
2019-08-31,Asian,61753772,#D9734E
2019-08-31,Mixed Asian,36954171,#F2B05E
2019-09-30,Asian,52450262,#D9734E
2019-09-30,Mixed Asian,26583220,#F2B05E
2019-10-31,Asian,73282847,#D9734E
2019-10-31,Mixed Asian,24855538,#F2B05E
2019-11-30,Asian,86484812,#D9734E
2019-11-30,Mixed Asian,25470836,#F2B05E
2019-12-31,Asian,122528572,#D9734E
2019-12-31,Mixed Asian,14499104,#F2B05E
2020-01-31,Asian,167225027,#D9734E
2020-01-31,Mixed Asian,79559453,#F2B05E
2020-02-29,Asian,317478664,#D9734E
2020-02-29,Mixed Asian,47969756,#F2B05E
2020-03-31,Asian,173872558,#D9734E
2020-03-31,Mixed Asian,48731187,#F2B05E
2020-04-30,Asian,189477496,#D9734E
2020-04-30,Mixed Asian,34028810,#F2B05E
2020-05-31,Asian,204793335,#D9734E
2020-06-30,Asian,184602711,#D9734E
2020-07-31,Asian,208714442,#D9734E
2020-07-31,Mixed Asian,11941165,#F2B05E
2020-08-31,Asian,269027843,#D9734E
2020-08-31,Mixed Asian,49965085,#F2B05E
2020-09-30,Asian,371157709,#D9734E
2020-09-30,Mixed Asian,71831284,#F2B05E
2020-10-31,Asian,623870390,#D9734E
2020-10-31,Mixed Asian,87417436,#F2B05E
2020-11-30,Asian,520715848,#D9734E
2020-11-30,Mixed Asian,53516191,#F2B05E
2020-12-31,Asian,283620973,#D9734E
2020-12-31,Mixed Asian,44534748,#F2B05E
2021-01-31,Asian,225654057,#D9734E
2021-01-31,Mixed Asian,370631242,#F2B05E
2021-02-28,Asian,140825129,#D9734E
2021-02-28,Mixed Asian,246558078,#F2B05E
2021-03-31,Asian,120010604,#D9734E
2021-03-31,Mixed Asian,387799630,#F2B05E
2021-04-30,Asian,193672657,#D9734E
2021-04-30,Mixed Asian,597049836,#F2B05E
2021-05-31,Asian,334008239,#D9734E
2021-05-31,Mixed Asian,1089189267,#F2B05E
2021-06-30,Asian,321910768,#D9734E
2021-06-30,Mixed Asian,1142755229,#F2B05E
2021-07-31,Asian,345367671,#D9734E
2021-07-31,Mixed Asian,874297633,#F2B05E
