month,country,count
2020-09,South Korean,12
2020-09,Filipino,4
2020-09,Japanese,4
2020-10,South Korean,32
2020-10,Filipino,5
2020-10,Chinese,1
2020-11,South Korean,23
2020-11,Filipino,5
2020-11,Chinese,1
2020-12,South Korean,8
2020-12,Japanese,4
2020-12,Filipino,2
2021-01,South Korean,10
2021-01,Filipino,5
2021-02,South Korean,7
2021-02,Filipino,4
2021-03,Filipino,4
2021-03,South Korean,4
2021-04,South Korean,9
2021-04,Filipino,2
2021-05,South Korean,9
2021-05,Filipino,3
2021-06,South Korean,10
2021-06,Filipino,4
2021-07,South Korean,11
2021-07,Filipino,4
